"API Key","API密鑰"
"Sweden Posten","瑞典郵政"
"French Post -La Poste","法國郵政-La Poste"
"France EMS - Chronopost","法國 EMS-Chronopost"
"French Post - Colissimo","法國郵政-Colissimo"
"Poste Italiane","意大利郵政"
"Magyar Posta","匈牙利郵政"
"Deutsche Post DHL","德國DHL"
"DHL Parcel Netherlands","荷蘭DHL"
"DHL Poland Domestic","波蘭DHL"
"DHL Spain Domestic","西班牙DHL"
"Posten Norge","挪威郵政"
"TNT Italy","意大利TNT"
"TNT France","法國TNT"
"Portugal Post - CTT","葡萄牙郵政-CTT"
"Correos","西班牙郵政"
"Ukraine Post","烏克蘭郵政"
"Ukraine EMS","烏克蘭 EMS"
"Poșta Română","羅馬尼亞郵政"
"ELTA Hellenic Post","希臘郵政"
"Deutsche Post","德國郵政"
"Česká Pošta","捷克郵政"
"Åland Post","奧蘭群島芬蘭郵政"
"Turkey Post","土耳其郵政"
"TNT Click","TNT Click"
"DHL Netherlands","DHL Netherlands"
"DHL Benelux","DHL Benelux"
"Nexive","Nexive"
"Tk Kit","Tk Kit"
"Hermes Germany","德國Hermes"
"International Seur","International Seur"
"TrakPak","TrakPak"
"Matkahuolto","Matkahuolto"
"ACS Courier","ACS Courier"
"DPD Poland","波蘭DPD"
"Albania Post","阿爾巴尼亞郵政"
"Geniki Taxydromiki","Geniki Taxydromiki"
"Andorra Post","安道爾郵政"
"Envialia","Envialia"
"Adicional Logistics","Adicional Logistics"
"CBL Logistics","CBL Logistics"
"Redur Spain","Redur Spain"
"Siodemka","Siodemka"
"Exapaq","Exapaq"
"Austrian Post","奧地利郵政"
"Belarus Post","白俄羅斯郵政"
"Bosnia And Herzegovina Post","波黑郵政"
"Bulgaria Post","保加利亞郵政"
"Italy SDA","意大利SDA"
"Croatia Post","克羅地亞郵政"
"Cyprus Post","塞浦路斯郵政"
"Denmark Post","丹麥郵政"
"Estonia Post","愛沙尼亞郵政"
"Faroe Islands Post","法羅群島郵政"
"Finland Post - Posti","芬蘭郵政-Posti"
"Gibraltar  Post","直布羅陀郵政"
"Guernsey Post","根西島郵政"
"Iceland Post","冰島郵政"
"CDEK Express","CDEK快遞"
"PostNL International 3S","PostNL International 3S"
"Landmark Global","Landmark Global快遞"
"Latvia Post","拉脫維亞郵政"
"Liechtenstein Post","列支敦士登郵政"
"Lithuania Post","立陶宛郵政"
"Luxembourg Post","盧森堡郵政"
"GLS Italy","意大利GLS"
"InPost Paczkomaty","InPost Paczkomaty"
"Macedonia Post","馬其頓郵政"
"Cacesa Postal","Cacesa南美專線"
"Malta Post","馬耳他郵政"
"Asendia Germany","Asendia Germany"
"Moldova Post","摩爾多瓦郵政"
"Monaco Post","摩納哥郵政"
"Monaco EMS","摩納哥 EMS"
"Montenegro Post","黑山郵政"
"MRW","MRW"
"Packlink","Packlink"
"Arrow XL","Arrow XL"
"Colis Privé","Colis Privé"
"DMM Network","DMM Network"
"FedEx Poland Domestic","波蘭FedEx"
"XDP Express","XDP Express"
"SGT Corriere Espresso","SGT Corriere Espresso"
"Easy Mail","Easy Mail"
"SPSR","中俄快遞SPSR"
"Chronopost Portugal","Chronopost Portugal"
"Nova Poshta","Nova Poshta"
"Poland Post","波蘭郵政"
"San Marino Post","聖馬力諾郵政"
"Serbia Post","塞爾維亞郵政"
"Slovakia Post","斯洛伐克郵政"
"Slovenia Post","斯洛文尼亞郵政"
"United Kingdom Royal Mail","英國皇家郵政"
"Parcel Force","英國郵政parcelforce"
"An Post","愛爾蘭郵政"
"FedEx UK","英國FedEx"
"Collect+","Collect+"
"Skynet Worldwide Express UK","Skynet Worldwide Express UK"
"Hermesworld","Hermesworld"
"Nightline","Nightline"
"Deltec Courier","Deltec Courier"
"DPD UK","DPD UK"
"TNT UK","TNT UK"
"DPD Ireland","愛爾蘭DPD"
"Asendia UK","Asendia UK"
"Yodel","Yodel"
"Fastway Ireland","愛爾蘭Fastway"
"Australia Post","澳大利亞郵政"
"Australia EMS","澳大利亞 EMS"
"New Zealand Post","新西蘭郵政"
"Auexpress","澳郵中國快運AuExpress"
"Couriers Please","Couriers Please"
"Fastgo","速派快遞FastGo"
"PCA","PCA"
"FTD Express","富騰達快遞"
"freaky quick logistics","FQ狂派速遞"
"Cnpex","中郵快遞"
"ADSOne","ADSOne快遞"
"Star Track Express","Star Track 快遞"
"Toll IPEC","Toll IPEC"
"Bonds Couriers","Bonds Couriers"
"CourierPost","CourierPost"
"UBI Logistics Australia","UBI Logistics Australia"
"Fastway New Zealand","新西蘭Fastway"
"Fastway Australia","澳大利亞Fastway"
"Direct Freight Express","Direct Freight快遞"
"Flyway Express","程光快遞"
"EFSPost","平安快遞"
"Brazil Correios","巴西郵政"
"Mexico Post","墨西哥郵政"
"Uruguay Post","烏拉圭郵政"
"Correos Chile","智利郵政"
"MailAmericas","MailAmericas"
"Antilles Post","荷屬安的列斯荷蘭郵政"
"Argentina Post","阿根廷郵政"
"Aruba Post","阿魯巴郵政"
"Barbados Post","巴巴多斯郵政"
"Belize Post","伯利茲郵政"
"Bermuda Post","百慕大郵政"
"Bolivia Post","玻利維亞郵政"
"Colombia Post","哥倫比亞郵政"
"Costa Rica Post","哥斯達黎加郵政"
"Ecuador Post","厄瓜多爾郵政"
"El Salvador Post","薩爾瓦多郵政"
"Guatemala Post","危地馬拉郵政"
"Jamaica Post","牙買加郵政"
"Nicaragua Post","尼加拉瓜郵政"
"Panama Post","巴拿馬郵政"
"Paraguay Post","巴拉圭郵政"
"Peru Post","秘魯郵政"
"Saint Vincent And The Grenadines","聖文森特和格林納丁斯"
"South African Post Office","南非郵政"
"Emirates Post","阿聯酋郵政"
"Sudan Post","蘇丹郵政"
"Tanzania Post","坦桑尼亞郵政"
"Togo Post","多哥郵政"
"Tunisia Post","突尼斯郵政"
"Uganda Post","烏幹達郵政"
"Roadbull Logistics","Roadbull Logistics"
"Zambia Post","贊比亞郵政"
"Zimbabwe Post","津巴布韋郵政"
"Benin Post","貝寧郵政"
"Botswana Post","博茨瓦納郵政"
"Burkina Faso Post","布基納法索郵政"
"Burundi Post","布隆迪郵政"
"Cameroon Post","喀麥隆郵政"
"Egypt Post","埃及郵政"
"Eritrea Post","厄立特裏亞郵政"
"Ethiopia Post","埃塞俄比亞郵政"
"Ghana Post","加納郵政"
"Ivory Coast EMS","科特迪瓦 EMS"
"Kenya Post","肯尼亞郵政"
"Lesotho Post","萊索托郵政"
"Mauritius Post","毛裏求斯郵政"
"Maroc Poste","摩洛哥郵政"
"Namibia Post","納米比亞郵政"
"Nigeria Post","尼日利亞郵政"
"Courier IT","Courier IT"
"Rwanda Post","盧旺達郵政"
"Senegal Post","塞內加爾郵政"
"Seychelles Post","塞舌爾郵政"
"Tonga Post","湯加郵政"
"Vanuatu Post","瓦努阿圖郵政"
"ABF Freight","ABF Freight"
"Gofly","Gofly"
"Fiji Post","斐濟郵政"
"Greenland Post","格陵蘭島郵政"
"The Courier Guy","The Courier Guy"
"SMSA Express","SMSA快遞"
"New Caledonia Post","新喀裏多尼亞郵政"
"Speedex Courier","Speedex Courier"
"Overseas Territory FR EMS","海外領地法國 EMS"
"Specialised Freight","Specialised Freight"
"Overseas Territory US Post","海外領地美國郵政"
"DPE South Africa","DPE South Africa"
"Dawn Wing","Dawn Wing"
"Papua New Guinea Post","巴布亞新幾內亞郵政"
"Saint Lucia Post","聖盧西亞郵政"
"Samoa Post","西薩摩亞郵政"
"Solomon Post","所羅門群島郵政"
